time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,1,64,elu,0.001,rmsprop,128,0.016930038415331687,0.020693633303064087,5.591228542437687,0.9193716865296747
7,1,32,selu,0.01,adam,32,0.026001558173076967,0.033529706566695246,7.640417632650781,0.7883230432516815
7,1,64,relu,0.01,rmsprop,32,0.026838586848834618,0.033893127261478445,7.710862373798094,0.7837095410287831
7,2,32,relu,0.001,rmsprop,64,0.027139017602259577,0.03156405005591626,8.602329875066303,0.8124143880105409
7,2,32,elu,0.001,rmsprop,128,0.02470700895264347,0.03921275553949656,8.877850441637738,0.7104865121686388
7,2,32,selu,0.001,rmsprop,64,0.031845099632694905,0.042964542666742774,9.548096901504216,0.6524362580591545
7,2,32,selu,0.001,adam,128,0.030597084976228713,0.03627406462813904,9.60777688128295,0.7522540734812166
7,1,32,selu,0.0005,rmsprop,64,0.03357034351389119,0.04165584571200655,10.542112001812553,0.6732873202542211
7,1,32,selu,0.01,adam,128,0.03381953290949904,0.04330664420824848,10.999725907597293,0.6468793286279936
7,2,64,elu,0.01,rmsprop,64,0.03381091195820678,0.04626407927131663,11.004891286799863,0.5970028967019639
7,1,64,selu,0.001,rmsprop,64,0.03387965215959964,0.04543893494063671,11.108543760865787,0.61125003396721
7,1,32,elu,0.001,rmsprop,64,0.037680183253994685,0.045466302003528566,11.128692513339724,0.61078161856059
7,2,32,elu,0.001,rmsprop,64,0.032114485860557734,0.04052535655846212,11.131642598013716,0.690779863971315
7,2,64,relu,0.01,rmsprop,32,0.03210376030363932,0.0385870691899454,11.435927866939524,0.7196518689691247
7,2,32,selu,0.001,adam,32,0.037439920311454725,0.047601828155667186,11.481831957777592,0.5733602246578591
7,2,32,selu,0.001,rmsprop,128,0.031128033085631154,0.040922659652691824,11.654820446610413,0.6846870693934561
7,1,32,selu,0.001,rmsprop,64,0.04026683259549049,0.047851140687491266,11.70870077809791,0.5688795064979948
7,1,32,selu,0.01,rmsprop,128,0.038536023848717606,0.04628129207517726,11.79419552875428,0.5967029663618286
7,1,32,relu,0.01,adam,128,0.041607149260548704,0.050789605479298235,11.880648165789518,0.5143048616872348
7,2,32,selu,0.01,adam,32,0.04244806428599334,0.05502182381151796,12.289071311635105,0.4299879438988513
7,1,64,selu,0.0005,rmsprop,64,0.035371890046857715,0.04650645675344987,12.297096703635196,0.5927692324541864
7,2,64,relu,0.0005,rmsprop,64,0.042778833987260706,0.05057807752604692,12.381434838602539,0.5183420719128312
7,1,32,relu,0.01,rmsprop,128,0.03931946127418349,0.0426986568386839,12.662758270132837,0.6567247397325044
7,2,32,elu,0.001,adam,32,0.042989388515613944,0.05325928447721365,12.670572377622404,0.46592194590487623
7,1,64,selu,0.001,adam,32,0.044982129147188,0.051911141839569734,13.333648380841442,0.49261778378840915
7,2,64,relu,0.001,adam,64,0.04994282664554257,0.06580114162212392,13.679374965286215,0.18476853294332962
7,1,32,elu,0.0005,rmsprop,64,0.047583303773559585,0.054457776360913215,13.834463827006314,0.4416148166900319
7,2,64,selu,0.001,rmsprop,32,0.04410129423775699,0.05481724250596411,13.846293289763775,0.4342188837954237
7,1,32,relu,0.0005,adam,64,0.04124155374209135,0.05312124509434511,13.944085056436286,0.4686868446702923
7,2,32,relu,0.01,rmsprop,128,0.0510734846627797,0.062395793650956086,14.66917927153063,0.26696501241922754
7,2,64,relu,0.001,adam,32,0.05213237481839336,0.06580753973688903,14.770660542346164,0.18460998864024902
7,1,32,relu,0.01,rmsprop,32,0.052352245055590316,0.059843096160308515,15.053690962474581,0.3257170355272191
7,2,32,elu,0.0005,rmsprop,64,0.05069490687258999,0.05644260909361888,15.404789630596738,0.4001699214046318
7,1,32,relu,0.0005,rmsprop,128,0.05361128204867272,0.0629923622794494,15.71425100654099,0.252880850656792
7,1,64,relu,0.001,rmsprop,64,0.05642186579547667,0.06819044507328642,15.736433028605386,0.12448996612801055
7,1,32,selu,0.0005,adam,128,0.05085834416432505,0.05934793807008774,15.922346688294088,0.3368292737976962
7,2,64,relu,0.001,rmsprop,64,0.05614513420652663,0.06510878310238422,16.217881865163914,0.20183398085173687
7,2,32,elu,0.01,adam,32,0.0593222253065356,0.07275754578329954,16.547485812276722,0.0032869141988558503
7,2,64,elu,0.001,adam,32,0.057569465247804714,0.07241604199070174,16.57812332571476,0.012621546571325526
7,1,32,relu,0.001,rmsprop,64,0.05631410769632269,0.0649548135101017,16.725124100312264,0.20560453165415016
7,2,32,relu,0.0005,rmsprop,64,0.05919131057095939,0.07210398438025768,17.359767007072758,0.02111289942921213
7,2,32,relu,0.0005,adam,64,0.059351006643742404,0.06837155431682491,17.72455765838818,0.11983319856880725
7,2,32,selu,0.0005,adam,64,0.050631049836596616,0.065611528391576,17.765517590342473,0.18946012189089978
7,1,64,selu,0.001,rmsprop,32,0.06013810797158718,0.06899198503603425,17.885614355548928,0.10378675316377983
7,1,64,relu,0.01,adam,32,0.06411615749492025,0.0764543286655288,17.9406884525314,-0.10057143332208995
7,2,32,selu,0.001,rmsprop,32,0.061956779859591034,0.07200816961217514,18.043238488679314,0.023712742533027353
7,2,32,relu,0.01,adam,32,0.06358864624046819,0.07617457954202292,18.14003793936343,-0.09253210788163324
7,1,64,elu,0.01,rmsprop,32,0.0642314749407353,0.07416641497343694,18.374694386363934,-0.03568730083324834
7,1,32,elu,0.01,adam,32,0.06686056806629591,0.08000509586257051,18.530616071084683,-0.20517295567928517
7,2,64,elu,0.01,rmsprop,128,0.06012829777429375,0.06598114053256239,18.801190240102873,0.18030230403684888
7,1,64,elu,0.01,adam,32,0.06830354020079722,0.0835189410391386,18.886422112756172,-0.3133607582263944
7,1,64,elu,0.0005,rmsprop,64,0.060110692369858415,0.06523452468079816,19.064846980632577,0.19874808174037772
7,2,64,selu,0.0005,adam,32,0.06936090003369456,0.08613939352329822,19.07641628440134,-0.3970684885047788
7,1,64,elu,0.001,adam,32,0.06724998141810441,0.0806654178887144,19.1225684436262,-0.22514884136750157
7,1,32,selu,0.001,rmsprop,32,0.06539996210810255,0.07342860013424012,19.332604031092995,-0.01518355766993107
7,2,64,relu,0.01,adam,128,0.06777121285523953,0.07863900079768321,19.417055183348314,-0.16436743572284884
7,1,32,relu,0.0005,rmsprop,64,0.06626176642773102,0.07491844654813691,19.53364168130461,-0.05679708043640419
7,2,64,selu,0.001,adam,128,0.06688583155901139,0.07563576435988983,19.597498928315353,-0.07713088286830261
7,2,64,relu,0.01,adam,32,0.07159541212300634,0.0880953314280889,19.851357567946483,-0.4612343241927914
7,1,32,selu,0.01,rmsprop,32,0.07237761756053071,0.09179866918423084,19.957502133078826,-0.5866708683752573
7,2,64,selu,0.01,adam,32,0.07177330913634496,0.08440408786762334,20.26669502341139,-0.34134668248585487
7,2,32,relu,0.0005,adam,32,0.07225349910406871,0.08943620846775437,20.4247996034885,-0.506055015629346
7,1,64,relu,0.0005,rmsprop,64,0.07120916682836628,0.07991087603853933,20.68828401734171,-0.2023360283681357
7,1,64,relu,0.001,adam,64,0.06982743986769008,0.07891025076067716,20.719657953487943,-0.1724138077709365
7,1,64,selu,0.01,adam,32,0.07491519626379432,0.08909394956258074,20.846470048322775,-0.4945501798526841
7,2,32,selu,0.0005,rmsprop,32,0.07312065463604558,0.08518278899903753,21.254683292586712,-0.36621103334970706
7,1,32,relu,0.001,adam,64,0.07596612192309289,0.08925220610625519,21.64873100300682,-0.49986439957054696
7,2,64,relu,0.0005,adam,128,0.07376326411917311,0.08761204885214832,21.655436655722255,-0.44524591631963006
7,2,32,relu,0.01,rmsprop,32,0.07076470247443012,0.07857998675067572,21.684625225017637,-0.16262050987375032
7,2,32,elu,0.01,rmsprop,64,0.07295870646282208,0.07983415048831269,21.684903021123954,-0.2000283172894013
7,1,32,relu,0.01,adam,32,0.0764226303269572,0.08799633022242352,21.72751706914159,-0.45795191021917825
7,1,32,elu,0.0005,adam,128,0.06513111721589879,0.07126770940876094,21.810291841283693,0.04368783880969085
7,2,64,elu,0.01,adam,32,0.0770872658597026,0.0896357321002337,21.856649382769884,-0.5127822407387139
7,1,64,relu,0.01,adam,128,0.0795051366507477,0.09505414821149283,22.077826946414486,-0.7012033392344466
7,2,64,selu,0.001,adam,32,0.07749287740689605,0.0946023821653135,22.121237284015194,-0.6850710698322733
7,1,32,selu,0.0005,rmsprop,32,0.07179344498688586,0.08172670944209277,22.223689650389534,-0.25759877078342597
7,2,32,selu,0.01,adam,64,0.07705450480494637,0.08941083715309316,22.295153331984356,-0.5052006597358802
7,2,32,selu,0.01,rmsprop,32,0.0797973298406785,0.0987364323353775,22.3122918932459,-0.8355614958910034
7,2,32,selu,0.0005,adam,128,0.07307813479944242,0.07880751869396238,22.37723765440697,-0.16936309915143233
7,2,64,elu,0.0005,adam,64,0.07313718583368563,0.08037907327085989,22.38782795060565,-0.21646625772661832
7,2,64,relu,0.001,rmsprop,32,0.07788522557973286,0.088868417872628,22.46154287890525,-0.4869931728210395
7,2,32,selu,0.0005,rmsprop,64,0.07514881634523066,0.08982148197970771,22.567189610442032,-0.5190585385054629
7,1,32,selu,0.001,adam,64,0.0731899908842453,0.07919912381204784,22.58683616125923,-0.1810134172011102
7,1,64,selu,0.0005,adam,64,0.07076652984352041,0.07852366450589784,22.671228073028377,-0.16095448948521063
7,1,32,selu,0.01,rmsprop,64,0.07894252544112981,0.08772984334346318,22.987605888887934,-0.4491347981583327
7,2,32,selu,0.01,adam,128,0.074236586213966,0.09250382747789315,23.121888273487787,-0.6111407525824435
7,2,64,elu,0.001,adam,64,0.07825777647881357,0.08902604473438235,23.196450293353024,-0.4922728423139924
7,2,64,elu,0.001,adam,128,0.073928230431726,0.08119188713337323,23.283292134779085,-0.24119309017341495
7,2,64,elu,0.01,adam,128,0.08105431952002082,0.09340844507167485,23.427217194125287,-0.6428063121740615
7,1,32,selu,0.0005,rmsprop,128,0.07448458616621816,0.09488234242887471,23.623277297359607,-0.6950592110992688
7,2,64,relu,0.0005,adam,32,0.08464877998549773,0.10112642577562307,23.745601033994664,-0.9254994243521264
7,2,64,relu,0.0005,adam,64,0.0861041200498244,0.10263369251145624,24.026463089116422,-0.9833254542482666
7,2,32,relu,0.001,adam,64,0.08605950148182497,0.10470624942897291,24.194649273153743,-1.064235699274494
7,2,32,relu,0.001,adam,32,0.08431715230959923,0.09840476956223544,24.196235454523183,-0.8232506411987581
7,2,64,selu,0.0005,adam,128,0.0746542695416814,0.08635104982022632,24.222386623340988,-0.4039425008794191
7,1,64,selu,0.001,adam,64,0.08251281168245578,0.09060534097822143,24.53193487435427,-0.5456874324402772
7,2,32,relu,0.001,rmsprop,32,0.08740412898921344,0.1027608684311551,24.74089002689653,-0.9882436737038871
7,1,64,elu,0.01,rmsprop,64,0.08491511961783878,0.09091532219113155,25.549721699496825,-0.5562818118114814
7,1,32,relu,0.001,rmsprop,128,0.0875996241887634,0.09928110272866089,25.589812318518323,-0.8558687637161551
7,2,32,elu,0.0005,adam,32,0.08980482590532775,0.10310224172862101,26.065157269947225,-1.0014755720137547
7,2,32,relu,0.0005,rmsprop,32,0.09331341517268472,0.11148069098300452,26.259683436169635,-1.339986659298595
7,2,64,elu,0.001,rmsprop,32,0.08916630526047511,0.09843709607884282,26.314802627722965,-0.8244487340014945
7,2,64,elu,0.01,rmsprop,32,0.09082056583365494,0.10231407867177503,26.639505416863486,-0.9709920531980221
7,1,32,selu,0.0005,adam,32,0.0810591816968656,0.09897010537021714,26.701710434421784,-0.8442599826619066
7,2,64,relu,0.0005,rmsprop,32,0.09379747775088804,0.10773031625102336,26.721059753822196,-1.185193737039588
7,1,64,selu,0.01,adam,128,0.09273203214821063,0.1043162543527911,26.72967802415989,-1.0488871883660313
7,1,64,selu,0.0005,adam,128,0.08844186684455387,0.09708450965778012,26.762888021379226,-0.7746550961929293
7,1,64,elu,0.001,adam,128,0.09099580407238352,0.0997354088853277,26.83926672712158,-0.8728923795260699
7,2,64,elu,0.0005,adam,32,0.09281300748267726,0.10533087015567119,26.932578342004494,-1.0889373810588077
7,1,32,elu,0.001,adam,32,0.09310672705683845,0.10398226362551,27.067981329002283,-1.0357882931783644
7,2,32,elu,0.01,adam,128,0.09200831154214126,0.10551690719717964,27.114184286208086,-1.0963229257303237
7,1,32,elu,0.001,adam,128,0.0955332117167125,0.10898162871613538,27.18451501246132,-1.2362516076455936
7,1,32,relu,0.0005,adam,32,0.09619809973594762,0.10941968797096463,27.446820935850134,-1.2542652771273017
7,1,64,relu,0.001,adam,128,0.09472496517422233,0.10651089888029955,27.536513733701558,-1.136004568929359
7,2,32,elu,0.01,rmsprop,32,0.09560987311099452,0.10764602947254502,27.58794250774137,-1.18177574114574
7,2,64,selu,0.0005,rmsprop,32,0.09074593038758332,0.09981513089023505,27.64163127345319,-0.8758877131150269
7,1,64,selu,0.0005,adam,32,0.09268231710757724,0.10276356909804271,27.850501824712957,-0.9883481814702244
7,2,32,relu,0.01,adam,128,0.09940599326799701,0.11660515073721621,27.98525048082343,-1.5600564811339792
7,1,32,selu,0.01,adam,64,0.09715970898547724,0.1086550384108332,28.054316843538047,-1.2228687322962433
7,1,64,elu,0.01,adam,128,0.0974876322315292,0.10973715491805383,28.335838265999424,-1.267365166518991
7,1,64,elu,0.0005,adam,64,0.09115768575245746,0.09893839594940979,28.5582244175258,-0.843078392579435
7,1,64,elu,0.0005,adam,32,0.09805176641725802,0.1077415716544482,28.78417419838187,-1.1856503684271726
