time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,1,32,selu,0.01,adam,32,0.05186462633314398,0.060341064971376236,14.987023602296798,0.3144486043420648
7,1,64,relu,0.0005,adam,32,0.05210717221939463,0.059765101928683416,15.230395771907698,0.32747349247459867
7,1,64,relu,0.01,rmsprop,64,0.052804452612437464,0.05927499644041357,15.278285349518015,0.33845841303347024
7,2,32,elu,0.001,adam,32,0.049900018545837956,0.062136929702984976,15.31596931167625,0.27303473907645415
7,2,32,selu,0.01,rmsprop,64,0.0476380059209756,0.05278215974913191,15.393898956292201,0.4754481884991233
7,1,32,selu,0.01,rmsprop,32,0.058635371129569964,0.06885568540486407,16.46986662786116,0.10732434879884545
7,1,32,relu,0.001,rmsprop,64,0.05662767756218913,0.06176447553050521,16.961009741701904,0.2817236061549897
7,2,32,relu,0.01,rmsprop,64,0.054864417326529816,0.05845597913388606,16.987484284886616,0.3566134818432709
7,2,32,elu,0.01,rmsprop,128,0.05471574311552438,0.0639094819452611,17.170116015313077,0.23096753890309607
7,2,32,selu,0.01,adam,32,0.06134647594477676,0.07319372812413763,17.171856488716447,-0.008699521127800036
7,2,32,elu,0.0005,rmsprop,64,0.048989029501238165,0.06530889111263809,17.563642805505257,0.1969202088404104
7,2,32,relu,0.001,rmsprop,64,0.05781894063905173,0.06489130923525925,17.66734220534239,0.20715708318839077
7,1,64,relu,0.01,adam,32,0.06223730777064885,0.0719805514133242,17.717597668772534,0.024461494375259574
7,2,64,relu,0.0005,adam,64,0.061800178058977036,0.07150162318869854,17.773056330548958,0.037399950570854656
7,2,64,relu,0.001,adam,32,0.06368362515948689,0.07387057597170549,18.099711263733525,-0.02744136872376335
7,2,32,elu,0.01,rmsprop,32,0.06079416250500816,0.0676275231867085,18.215555432762354,0.13888522374978574
7,1,32,elu,0.0005,rmsprop,64,0.05343210675894241,0.05888724282105907,18.6052640570313,0.34708519159655926
7,2,64,relu,0.01,adam,128,0.06638717643868274,0.08086172879912522,18.606416175795008,-0.23111924972098064
7,2,64,elu,0.01,rmsprop,128,0.045900481635394126,0.07300953616952922,18.74486649268897,-0.0036291260128096248
7,1,64,selu,0.0005,rmsprop,128,0.054079149329920494,0.05912839565049261,18.956701201557685,0.34172665748457587
7,2,64,elu,0.0005,adam,32,0.05810363915967674,0.06795550711527369,19.219391333274967,0.13051239945897997
7,1,64,relu,0.01,adam,128,0.06554792761564025,0.07325618829352673,19.29935250677747,-0.010421811458793728
7,2,64,relu,0.001,adam,128,0.06777838352234956,0.07743709504178856,19.459501019399074,-0.12904742022302917
7,1,64,relu,0.0005,adam,128,0.06544593802499299,0.07238622131424191,19.509561336732485,0.013434577222120048
7,2,64,selu,0.0005,rmsprop,32,0.060445958713456274,0.0667010298730795,19.903801342848936,0.16231805169482527
7,1,64,elu,0.01,adam,32,0.07285044791949295,0.08531433917827873,20.313062829341366,-0.3704340480186845
7,1,64,selu,0.001,adam,32,0.07088654186619983,0.0802839401112986,20.374479095180345,-0.2135884491227864
7,1,32,relu,0.001,adam,64,0.06913386111769813,0.07511316247150844,20.528967218727566,-0.06229753159845308
7,2,64,selu,0.001,adam,32,0.07052295511724886,0.0812908889404949,20.81415867241318,-0.2442218478658631
7,1,32,relu,0.01,adam,32,0.07225305157635056,0.08173615152749354,20.915945801376782,-0.2578893744553774
7,2,32,selu,0.0005,rmsprop,32,0.06678729641792393,0.07242043006749366,21.13189865276704,0.012501881822251204
