modelo_idx,time_step,capas,units,activation,lr,opt,batch,MAE_val,RMSE_val,MAPE_val,MAE_test,RMSE_test,MAPE_test
5,15,1,64,relu,0.001,rmsprop,32,0.02056694237461493,0.026905127754327546,6.211249050297275,0.07603379222801436,0.11489708973567049,9.827421860643206
3,30,1,64,elu,0.001,rmsprop,64,0.02304188421481224,0.03151433835636674,7.052507354421748,0.09311025889061271,0.13685111482815368,11.034836911725078
1,15,2,64,elu,0.001,rmsprop,32,0.03499011445655943,0.039032778380824945,11.55543744924176,0.10314149359268307,0.15468743435069618,12.217823967507456
11,15,2,64,relu,0.001,adam,64,0.0727480876054413,0.07495491928077491,23.855319847130573,0.11113845562274793,0.15376286900624933,16.46161998656708
12,15,1,32,elu,0.01,rmsprop,64,0.07869793029517504,0.09978905976390014,28.35869803624757,0.11150311067413386,0.15054025594118206,16.42348233306975
2,7,1,64,relu,0.0005,rmsprop,64,0.03970806788256494,0.04739824705732158,12.434820547297145,0.11729196117593814,0.17297516852524203,14.31633595759157
14,7,1,64,relu,0.001,rmsprop,32,0.12023349392768956,0.13628879629344634,39.460129663259195,0.12077339693652359,0.1423919306609861,19.82855459002403
10,15,1,32,elu,0.0005,adam,32,0.043438836243099944,0.056731439581612995,13.747151371618866,0.1333232632357463,0.2076541516348142,15.588053248225062
8,30,1,32,relu,0.001,adam,64,0.19919913592217423,0.2035519378172088,61.72555680557642,0.17371909891340195,0.2529966048240377,25.25345625003878
9,30,2,32,elu,0.001,adam,64,0.18751597885292934,0.1965016771539176,59.47205455669559,0.17538540389984467,0.23898641203821525,27.970559500935916
15,7,2,64,relu,0.0005,rmsprop,64,0.09390991676054428,0.10550401734593706,27.75331749689871,0.17967256085796907,0.2544634175789533,21.811296428272446
7,30,2,64,relu,0.0005,rmsprop,64,0.13812955958715464,0.1523815685850826,38.663793075644,0.19574737712322923,0.24582279004685934,27.21468667117349
4,7,1,32,selu,0.01,rmsprop,128,0.1502763386435522,0.17743526938140064,54.91154110114492,0.20359050608092819,0.26509697016959416,26.934319236478586
13,7,1,64,elu,0.0005,adam,128,0.14888880987596426,0.15658789835437617,49.41192641087528,0.28965509926233857,0.34830032084070434,38.630942796932764
6,30,1,64,elu,0.001,adam,128,0.11983843338812324,0.138572550646901,36.16701701217185,0.5318580434976753,0.6110905650441497,70.81687231067627
