time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
15,2,64,elu,0.001,rmsprop,32,0.01743754511874372,0.02429699127504551,5.7805781976861415,0.8810993500323133
15,1,64,relu,0.001,rmsprop,32,0.02161350033245265,0.026395106149447622,6.919517953496698,0.8596779053477145
15,2,64,relu,0.001,adam,64,0.02663838931616655,0.03385589491823274,7.849011634959033,0.7691404582070329
15,1,32,relu,0.01,rmsprop,64,0.028131912737819512,0.03703754443660366,7.956293827691736,0.7237109937786924
15,1,32,elu,0.0005,adam,32,0.026091530474901432,0.034486080242239495,8.255957475642626,0.7604661460972759
15,2,32,elu,0.0005,rmsprop,32,0.029859907304657467,0.03807122056010738,8.62867277673331,0.7080739612716418
15,1,32,elu,0.01,rmsprop,64,0.027090264484159597,0.03462963866103296,9.21172141339079,0.7584677354767169
15,1,64,relu,0.01,adam,128,0.031755832287897696,0.036876861424077735,9.244318143737255,0.7261030880385995
15,2,64,relu,0.0005,adam,64,0.035556615003418356,0.048459715945042975,9.91324529401978,0.5270219772044138
15,2,64,relu,0.0005,adam,128,0.03409312514500822,0.042535699946784265,10.110950551922874,0.6355932602581482
15,1,32,relu,0.001,rmsprop,128,0.03371403469440902,0.043918418382582314,10.320450607375777,0.6115164653852386
15,1,64,relu,0.01,rmsprop,64,0.02977808030352931,0.03575281917780447,10.4188160208356,0.7425458966464638
15,2,32,relu,0.0005,adam,64,0.03096394711621396,0.04471609419813576,10.739508316520556,0.5972765135938578
15,1,32,relu,0.0005,rmsprop,32,0.03802524222157295,0.0457260536462162,10.959473004680424,0.5788792158496424
15,2,32,elu,0.001,rmsprop,32,0.035437256097758996,0.04286333326799402,11.05414320143627,0.6299579185977497
15,2,32,relu,0.0005,rmsprop,128,0.03569184279144002,0.0449962305769181,11.357425856283854,0.5922147616933687
15,2,64,elu,0.001,adam,32,0.034668803145727456,0.04735654612361264,11.934061111480736,0.5483112501635456
15,1,32,relu,0.001,rmsprop,64,0.03647422417494928,0.041646200415132076,12.074099206194868,0.6506747305332197
15,1,32,relu,0.01,rmsprop,128,0.041126772077535206,0.0475180722044452,12.080336379073415,0.5452247100130441
15,1,32,elu,0.001,rmsprop,32,0.03631500012149347,0.05362613398779915,12.561927284637694,0.4207951215285146
15,2,64,selu,0.01,adam,128,0.0398135823650935,0.047052372776756904,12.67687008817449,0.5540950521230681
15,1,32,elu,0.0005,rmsprop,64,0.04071618179537642,0.049757954678048194,12.831368233422069,0.50134029749234
15,2,64,elu,0.0005,rmsprop,32,0.045387223955383846,0.05479985225788991,13.035053753274742,0.3951634765381471
15,2,32,relu,0.0005,rmsprop,32,0.04103618330239487,0.04867737639131741,13.490037878863173,0.5227636027504614
15,2,32,relu,0.001,adam,32,0.04593057431710482,0.0576846393293391,13.661325456713245,0.3298074491688503
15,2,32,elu,0.001,rmsprop,64,0.04568044621680475,0.05396688143801593,14.01814938664224,0.41341104945115126
15,1,64,relu,0.01,adam,64,0.05050013143839174,0.05990916774967066,14.06590610917616,0.2771206709210078
15,1,32,elu,0.001,rmsprop,64,0.04543962187208914,0.06591047861201478,14.124721580368895,0.12504007108239823
15,1,64,relu,0.0005,adam,32,0.050742687520522925,0.06793597241396115,14.268719035511172,0.07043700725623592
15,1,32,relu,0.001,adam,128,0.05043417001209387,0.06136974174563695,14.447908134620183,0.24144369126913556
15,1,32,elu,0.001,adam,128,0.04695419326431287,0.06522287491618574,14.524747705399262,0.1432006882443011
15,1,32,elu,0.01,rmsprop,32,0.04875576091132707,0.0556989176593065,14.695314107995344,0.37515435778402495
15,2,64,relu,0.0005,adam,32,0.0512633165882379,0.06291826682874373,14.753206005634384,0.20267985886567486
15,2,32,elu,0.01,adam,64,0.04907739280510982,0.05880253773839526,15.151251057504691,0.3035797802924164
15,2,32,relu,0.0005,rmsprop,64,0.048358720285803417,0.05325093875732958,15.996976888479342,0.42887158238517087
15,1,64,relu,0.0005,rmsprop,128,0.05478107909882765,0.07066632658142127,16.416500667594054,-0.005782941478556847
15,2,32,elu,0.001,rmsprop,128,0.05295322967795235,0.061441349871476376,16.452371699685415,0.2396724442507493
15,1,64,relu,0.001,rmsprop,64,0.056674694206254775,0.06096884068962528,16.999091877845224,0.25132193818087134
15,2,64,elu,0.01,adam,128,0.05883534154643955,0.06810271222766108,17.446051505762735,0.06586843004369114
15,1,64,relu,0.01,rmsprop,128,0.05925381424304528,0.06469727164824425,17.457361191158675,0.1569542059804726
