modelo_idx,time_step,capas,units,activation,lr,opt,batch,MAE_val,RMSE_val,MAPE_val,MAE_test,RMSE_test,MAPE_test
12,7,1,32,selu,0.01,adam,32,0.08775602308400127,0.09479151406834077,30.47908618768022,0.07963169285704197,0.09745538338790392,13.195716221281838
1,30,2,64,selu,0.0005,rmsprop,32,0.05698893030911445,0.06364003269114399,17.02005596071593,0.09126797440585521,0.12096710470523211,11.805567567964568
5,15,2,64,selu,0.001,adam,32,0.08869193654453358,0.09551240355954538,27.04049152986564,0.1009511128283518,0.12039231411723987,15.583551899919435
13,7,1,64,relu,0.01,rmsprop,32,0.014174874295586112,0.017456390649351727,4.754430406316034,0.1085243866306727,0.24863224836283696,12.984763689507279
7,30,2,32,selu,0.0005,rmsprop,32,0.06588847015284911,0.08348052105121198,19.095527450534412,0.11931166922670568,0.15834961095232628,15.780303081171734
2,7,1,64,elu,0.001,rmsprop,128,0.1587422167616547,0.16222545443371722,54.294504049673556,0.11939377950224371,0.1347337902455638,20.774389798038108
10,15,2,32,selu,0.001,rmsprop,128,0.19773539262157233,0.20488974740888677,66.08632771397403,0.12321563235357222,0.14267367386536975,24.811159670734472
8,30,2,32,elu,0.0005,adam,64,0.03944507253907215,0.05483151686723618,14.841304608037023,0.12517949619381166,0.16898875574630395,15.675472211477661
3,30,1,64,selu,0.0005,rmsprop,64,0.045797690593799595,0.05360114037408163,14.341907636519908,0.1338700501878732,0.16342288632307145,18.06051543593999
9,15,2,32,selu,0.0005,rmsprop,32,0.04563067920560627,0.0575124383047763,13.530816912783816,0.1376841667226629,0.16567917225316714,22.002897403030808
6,30,2,32,elu,0.01,adam,64,0.17965110537455126,0.1809660754176386,56.16305490939719,0.14252828500690634,0.15980341612630894,27.026174475227506
14,7,2,32,relu,0.001,rmsprop,64,0.029202791005466234,0.034537917099472036,10.252654628184555,0.14429918082213966,0.20060245503143845,17.73459917520308
4,15,2,32,selu,0.0005,adam,128,0.1972203484634752,0.2060480208016141,61.05171584900293,0.14685052325564696,0.164108378830474,27.11130027641659
11,7,2,32,elu,0.001,rmsprop,128,0.0805787504880518,0.0895447823808172,29.36053674193596,0.16930268422232456,0.22490486825855235,21.06386721141374
15,15,2,32,elu,0.0005,adam,32,0.20546335215886366,0.2074174023622338,65.12351998163881,0.27468030703634166,0.2945919225033619,46.19816046959001
