d,unixTs,sopr
2017-01-01,1483228800,1.0212772984751683
2017-01-02,1483315200,1.0239637587668933
2017-01-03,1483401600,1.0177640994509956
2017-01-04,1483488000,1.0287201901584893
2017-01-05,1483574400,1.0265850813533282
2017-01-06,1483660800,0.995515784044864
2017-01-07,1483747200,0.9964932059362288
2017-01-08,1483833600,1.0063635504627626
2017-01-09,1483920000,1.0033739073177717
2017-01-10,1484006400,1.0034263953034133
2017-01-11,1484092800,0.9938379795301752
2017-01-12,1484179200,0.996756299001646
2017-01-13,1484265600,0.9998296403336144
2017-01-14,1484352000,1.0007325432009255
2017-01-15,1484438400,1.0005783557342738
2017-01-16,1484524800,1.0017436873237646
2017-01-17,1484611200,1.0099581576577163
2017-01-18,1484697600,1.003442304065438
2017-01-19,1484784000,1.0040182070355756
2017-01-20,1484870400,1.0024941084666816
2017-01-21,1484956800,1.0086608958961645
2017-01-22,1485043200,1.0111665942989434
2017-01-23,1485129600,1.006751762766864
2017-01-24,1485216000,1.0060972355165647
2017-01-25,1485302400,1.0056707002732455
2017-01-26,1485388800,1.005798365098009
2017-01-27,1485475200,1.0045820888370605
2017-01-28,1485561600,1.004257356502783
2017-01-29,1485648000,1.0165099006149114
2017-01-30,1485734400,1.0054276682485948
2017-01-31,1485820800,1.0086078697792098
2017-02-01,1485907200,1.0086001558523412
2017-02-02,1485993600,1.0111001590710404
2017-02-03,1486080000,1.0114558959267268
2017-02-04,1486166400,1.0062934361356175
2017-02-05,1486252800,1.0067289151970258
2017-02-06,1486339200,1.0107469375103781
2017-02-07,1486425600,1.0124366404391911
2017-02-08,1486512000,1.0098961731655598
2017-02-09,1486598400,1.0038821391289898
2017-02-10,1486684800,1.0052079855376468
2017-02-11,1486771200,1.0045969776146768
2017-02-12,1486857600,1.0091682841533307
2017-02-13,1486944000,1.0086564640362365
2017-02-14,1487030400,1.0056842799536274
2017-02-15,1487116800,1.0034171449300364
2017-02-16,1487203200,1.0043322009212083
2017-02-17,1487289600,1.0107031594254738
2017-02-18,1487376000,1.0103062109724807
2017-02-19,1487462400,1.0068435617197662
2017-02-20,1487548800,1.0075121570396068
2017-02-21,1487635200,1.0143579495506223
2017-02-22,1487721600,1.0134308378790666
2017-02-23,1487808000,1.0098749708720935
2017-02-24,1487894400,1.0275493793274255
2017-02-25,1487980800,1.00845702702809
2017-02-26,1488067200,1.0084158813924913
2017-02-27,1488153600,1.0108441293456911
2017-02-28,1488240000,1.0087661840178825
2017-03-01,1488326400,1.011840651851408
2017-03-02,1488412800,1.0128149214961548
2017-03-03,1488499200,1.0090070425723086
2017-03-04,1488585600,1.0087416553285153
2017-03-05,1488672000,1.0120732491896534
2017-03-06,1488758400,1.0151034314781022
2017-03-07,1488844800,1.0077215154854546
2017-03-08,1488931200,1.0034652255435865
2017-03-09,1489017600,1.0014513090257637
2017-03-10,1489104000,1.0048681362658138
2017-03-11,1489190400,1.004862239600583
2017-03-12,1489276800,1.010711067484953
2017-03-13,1489363200,1.0213956086579175
2017-03-14,1489449600,1.0059462528665792
2017-03-15,1489536000,1.0121197078743647
2017-03-16,1489622400,1.0054527619062175
2017-03-17,1489708800,0.9996493488142527
2017-03-18,1489795200,0.9956190203260655
2017-03-19,1489881600,1.0009565678444194
2017-03-20,1489968000,0.9987343274152665
2017-03-21,1490054400,1.0033543266955278
2017-03-22,1490140800,1.0005174656522444
2017-03-23,1490227200,0.999616519850161
2017-03-24,1490313600,1.0002894053748195
2017-03-25,1490400000,1.0346411026
2017-03-26,1490486400,1.0067504447560456
2017-03-27,1490572800,1.0047291684417408
2017-03-28,1490659200,1.0072000360966438
2017-03-29,1490745600,1.0033061177210114
2017-03-30,1490832000,1.0034431644733297
2017-03-31,1490918400,1.0069587544794885
2017-04-01,1491004800,1.0040482760170384
2017-04-02,1491091200,1.0029296520694821
2017-04-03,1491177600,1.0056586134093322
2017-04-04,1491264000,1.0059871726049467
2017-04-05,1491350400,1.0061911228829712
2017-04-06,1491436800,1.0112419257534093
2017-04-07,1491523200,1.0040896162890858
2017-04-08,1491609600,1.000968799175715
2017-04-09,1491696000,1.012018475674148
2017-04-10,1491782400,1.0075676767231005
2017-04-11,1491868800,1.0083842187343988
2017-04-12,1491955200,1.0088126837214546
2017-04-13,1492041600,1.0020966754447063
2017-04-14,1492128000,1.0047155229683604
2017-04-15,1492214400,1.0032990080954753
2017-04-16,1492300800,1.0015968552836432
2017-04-17,1492387200,1.008224447409854
2017-04-18,1492473600,1.0064883133444191
2017-04-19,1492560000,1.0050105132213099
2017-04-20,1492646400,1.0083833793953765
2017-04-21,1492732800,1.0059010669987523
2017-04-22,1492819200,1.0038219731140112
2017-04-23,1492905600,1.0054580967461062
2017-04-24,1492992000,1.0092836389194166
2017-04-25,1493078400,1.0064605316936757
2017-04-26,1493164800,1.008989185576134
2017-04-27,1493251200,1.010084522403248
2017-04-28,1493337600,1.0141999116423974
2017-04-29,1493424000,1.0079809265352984
2017-04-30,1493510400,1.011243154835439
2017-05-01,1493596800,1.017997032603555
2017-05-02,1493683200,1.0156985595130534
2017-05-03,1493769600,1.0131265359883248
2017-05-04,1493856000,1.0231649836707557
2017-05-05,1493942400,1.017869942427288
2017-05-06,1494028800,1.01027597237488
2017-05-07,1494115200,1.009790695815011
2017-05-08,1494201600,1.013449448462331
2017-05-09,1494288000,1.0190183142621647
2017-05-10,1494374400,1.011446100764653
2017-05-11,1494460800,1.0216667648186994
2017-05-12,1494547200,1.0100457824488502
2017-05-13,1494633600,1.0067881913847732
2017-05-14,1494720000,1.007271794130198
