d,unixTs,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2020-02-27,1582761600,218891.30784000,474264.50032000,1441034.44328000,1167420.30848000,1751130.46272000,2517250.04016000,2900309.82888000,2790864.17496000,638432.98120000,383059.78872000,1222143.13544000,1513998.21256000,1222143.13544000
2020-02-28,1582848000,237157.92516000,474315.85032000,1404704.63364000,1204032.54312000,1751320.06272000,2444550.92088000,2973595.52316000,2809409.26728000,638502.10620000,383101.26372000,1222275.46044000,1514162.13756000,1222275.46044000
2020-02-29,1582934400,145957.23856000,602073.60906000,1368349.11150000,1204147.21812000,1733242.20790000,2463028.40070000,2955634.08084000,2809676.84228000,638562.91870000,383137.75122000,1222391.87294000,1514306.35006000,1222391.87294000
2020-03-01,1583020800,127728.07124000,638640.35620000,1350268.18168000,1204293.24312000,1733452.39540000,2463327.08820000,2955992.50584000,2810017.56728000,638640.35620000,383184.21372000,1204293.24312000,1514489.98756000,1222540.11044000
2020-03-02,1583107200,200736.02802000,583959.35424000,1350406.00668000,1204416.16812000,1697131.87326000,2500075.98534000,2956294.23084000,2810304.39228000,638705.54370000,383223.32622000,1204416.16812000,1514644.57506000,1222664.89794000
2020-03-03,1583193600,200757.06552000,492767.34264000,1460051.38560000,1186291.75080000,1715560.37808000,2500337.99784000,2956604.05584000,2792348.27496000,638772.48120000,383263.48872000,1204542.39312000,1514803.31256000,1222793.03544000
2020-03-04,1583280000,346801.86658000,511076.43496000,1277691.08740000,1186427.43830000,1624492.95398000,2591887.63444000,2956942.23084000,2810920.39228000,638845.54370000,383307.32622000,1204680.16812000,1514976.57506000,1241185.62776000
2020-03-05,1583366400,219057.20784000,657171.62352000,1277833.71240000,1186559.87580000,1624674.29148000,2573922.19212000,2939017.53852000,2811234.16728000,620662.08888000,383350.11372000,1204814.64312000,1515145.68756000,1241324.17776000
2020-03-06,1583452800,182567.04820000,602471.25906000,1332739.45186000,1204942.51812000,1606590.02416000,2574195.37962000,2939329.47602000,2811532.54228000,620727.96388000,383390.80122000,1204942.51812000,1515306.50006000,1241455.92776000
2020-03-07,1583539200,109552.00392000,657312.02352000,1351141.38168000,1223330.71044000,1606762.72416000,2574472.09212000,2939645.43852000,2811834.76728000,620794.68888000,383432.01372000,1205072.04312000,1497210.72024000,1241589.37776000
2020-03-08,1583625600,109563.85392000,639122.48120000,1241723.67776000,1351287.53168000,1606936.52416000,2574750.56712000,2939963.41352000,2812138.91728000,620861.83888000,383473.48872000,1205202.39312000,1497372.67024000,1241723.67776000
2020-03-09,1583712000,255675.24248000,547875.51960000,1114013.55652000,1406213.83364000,1643626.55880000,2575014.94212000,2940265.28852000,2812427.66728000,620925.58888000,383512.86372000,1205326.14312000,1497526.42024000,1241851.17776000
2020-03-10,1583798400,237434.17516000,566189.18692000,1114114.20652000,1406340.88364000,1643775.05880000,2575247.59212000,2940530.93852000,2812681.76728000,620981.68888000,383547.51372000,1205435.04312000,1497661.72024000,1241963.37776000
2020-03-11,1583884800,474907.02532000,438375.71568000,1242064.52776000,1315127.14704000,1479518.04042000,2575457.32962000,2940770.42602000,2812910.84228000,621032.26388000,383578.75122000,1205533.21812000,1497783.69524000,1242064.52776000
2020-03-12,1583971200,639363.98120000,529758.72728000,1114320.08152000,1315263.04704000,1424868.30096000,2520920.84016000,2922806.77120000,2813201.51728000,621096.43888000,383618.38872000,1205657.79312000,1497938.47024000,1242192.87776000
2020-03-13,1584057600,621149.56388000,730764.19280000,1059608.07956000,1278837.33740000,1388451.96632000,2502867.36034000,2923056.77120000,2795173.03746000,621149.56388000,383651.20122000,1205760.91812000,1498066.59524000,1242299.12776000
2020-03-14,1584144000,328872.68676000,1059700.87956000,1023159.46992000,1297220.04222000,1388573.56632000,2484815.85552000,2923312.77120000,2795417.83746000,621203.96388000,401955.50604000,1205866.51812000,1498197.79524000,1242407.92776000
