d,unixTs,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gateIo,kucoin,kraken,cryptoCom,dydx,deltaExchange,openInterestFutures
2020-09-09,1599609600,395097936.8752,259164720.7258,827476927.6201,,244893508.7998,781881189.7641,494835002.0330,61002329.8750,,,,,,,
2020-09-10,1599696000,397513448.3828,267782326.4669,820562027.5056,,247617911.0621,753372428.9933,480028242.5590,61647560.9583,,,,,,,
2020-09-11,1599782400,397757644.0085,280141194.7831,835701945.7002,,257222757.3174,769373822.3615,485806243.6819,62352888.1055,,,,,,,
2020-09-12,1599868800,397405255.8476,284861849.7602,855069269.4116,,247133040.5736,756790870.4368,468458077.9617,62613379.8217,,,,,,,
2020-09-13,1599955200,397961433.6653,289640175.7850,885341845.6930,,239585846.0847,766972390.3707,469643134.8182,63155635.5817,,,,,,,
2020-09-14,1600041600,396612072.3366,299884093.0154,880622832.8798,,242243718.8790,781799541.0516,471000746.5560,62260726.4938,,,,,,,
2020-09-15,1600128000,411916181.5779,287590112.6068,913980752.9697,,243318207.1358,801135512.2867,478488950.9093,64398282.2736,,,,,,,
2020-09-16,1600214400,417268240.3418,284026979.0456,893890237.6633,,241249510.4608,777069129.0128,491266159.3389,65325458.1181,,,,,,,
2020-09-17,1600300800,448659418.8356,311833960.4846,914279831.3871,,250116875.9086,801377082.5446,536669537.3513,66903627.2600,,,,,,,
2020-09-18,1600387200,431364738.4519,316543414.7244,904653572.0864,,253311141.6004,793897142.6277,532258607.4497,67042996.0900,,,,,,,
2020-09-19,1600473600,427339810.1805,320003519.5814,865635053.0953,,254689313.6758,807585893.4781,523982444.0671,67108120.3595,,,,,,,
2020-09-20,1600560000,448665438.7336,327850535.1893,903489682.7490,,258247177.2590,805050387.4029,540142089.5576,69612484.2723,,,,,,,
2020-09-21,1600646400,444080597.3524,305619395.1571,881357132.5023,,253689245.6870,790711687.5123,559075220.9802,68977300.4826,,,,,,,
2020-09-22,1600732800,436246759.5068,271615363.3287,831658866.5280,,258159123.6784,782737863.4952,530658007.5218,66022272.0281,,,,,,,
2020-09-23,1600819200,445080046.4859,277027786.3832,838389648.8498,,242198252.2458,754642069.3398,516979844.8829,65771405.0956,,,,,,,
2020-09-24,1600905600,461280187.7581,264514691.5871,819264152.0422,,237726407.6647,779981667.5189,521725573.8329,61472910.7934,,,,,,,
2020-09-25,1600992000,443163461.0408,284595836.9881,821046481.0966,,218150615.3079,747523514.1737,536649464.7819,63720909.7822,,,,,,,
2020-09-26,1601078400,428303741.8404,311206830.8952,768781846.7921,,173530311.8239,715954390.9844,479980389.6403,63282587.2645,,,,,,,
2020-09-27,1601164800,441968507.5911,310092839.0980,797997644.8218,,172628986.1794,730672321.2755,481098540.1931,63466593.7727,,,,,,,
2020-09-28,1601251200,421772780.6119,313523635.4389,806111759.8578,,173371780.5305,718606102.3713,485272156.7360,63793582.2024,,,,,,,
2020-09-29,1601337600,393384337.7627,325324747.2409,806784534.0965,,175370999.9226,718190665.6733,475796435.4086,63239269.3125,,,,,,,
2020-09-30,1601424000,418706882.8109,342606284.7653,807365488.3550,,170177678.5788,716044772.9372,472556559.9526,63985223.1158,,,,,,,
2020-10-01,1601510400,422250729.5388,365335963.9266,794587796.9672,,174172741.3022,730050200.4472,464944093.2181,63633023.9194,,,,,,,
2020-10-02,1601596800,416991983.5954,385805392.0496,825758078.0270,,170328244.0406,651567778.0246,511872099.5110,62594138.9446,,,,,,,
2020-10-03,1601683200,438394236.4868,387424080.1769,810173546.6786,,170925508.4151,614339695.5222,509022887.5709,62425841.9752,,,,,,,
2020-10-04,1601769600,442894684.0285,378444501.2036,838234915.2904,,172137672.2892,614517359.8417,517377198.6039,62294758.5461,,,,,,,
2020-10-05,1601856000,445110511.9523,372392253.7936,848946392.3045,,175061686.5030,611673574.3378,527642253.1632,63016585.7788,,,,,,,
2020-10-06,1601942400,482010445.7028,399940369.6863,861032878.0938,,184839067.1936,629374204.1415,536316712.0902,63231501.4233,,,,,,,
2020-10-07,1602028800,445683513.5997,428926042.2203,840590626.1125,,192520950.5182,626753558.9459,518511163.0079,61512288.4457,,,,,,,
2020-10-08,1602115200,458139848.9293,432916156.2290,854642641.8649,,194884898.4708,596379549.9639,517912851.4900,61568934.9167,,,,,,,
2020-10-09,1602201600,479324753.9669,445088465.4900,887397639.8269,,206092207.2509,608988555.4274,548507693.1336,62324114.4982,,,,,,,
2020-10-10,1602288000,493034763.3278,452926674.7311,921914805.3098,,219667960.1444,619599359.8347,549679034.8732,62958069.2883,,,50372237.3110,,,,
2020-10-11,1602374400,498735163.0047,462819018.5223,906565553.7011,,228848599.8454,596040530.2095,550094540.6435,64086350.9339,,,52518415.7996,,,,
2020-10-12,1602460800,509318122.4616,463271823.2358,919345880.7991,,230508124.6108,592741819.9207,550202097.8174,64600614.1711,,,52638096.7957,,,,
2020-10-13,1602547200,495354582.1820,472246223.6775,948232906.1673,,242343270.5517,590669322.5569,546790416.5305,66207964.7551,,,54354906.2348,,,,
2020-10-14,1602633600,490494912.7842,474109464.7272,892571372.8226,,238881181.7963,586392729.8690,537429113.6748,65575118.9876,,,51804365.9250,,,,
2020-10-15,1602720000,477548182.3123,448965461.8811,884723819.4091,,241588513.4850,591905017.3085,533628234.0007,66142026.5969,,,52174845.9477,,,,
2020-10-16,1602806400,491940625.7630,461644228.5566,905942512.8155,,240345971.7263,601204751.4450,556294697.1746,66027523.0483,,,51909412.1386,,,,
2020-10-17,1602892800,502147502.9690,456094184.8772,835211480.3667,,246605830.5866,588383784.5417,515927346.8971,65021370.0266,,,52302701.7913,,,,
2020-10-18,1602979200,496823714.1936,450281196.6415,822691314.0328,,244402264.0704,588533299.9957,512952463.0004,64454593.2321,,,51839961.8238,,,,
2020-10-19,1603065600,517762960.0656,448166710.8102,873379210.4119,,252539880.1000,600934965.4288,513767540.0656,65225360.5763,,,52497600.0543,,,,
2020-10-20,1603152000,569467036.5006,492080409.8184,928946920.6145,,267593079.5161,631359787.6648,531214162.2258,67260024.8531,,,53852455.8521,,,,
2020-10-21,1603238400,627040086.2023,501105433.0388,988460704.6731,,277711241.0107,616324388.5274,569532290.0056,69702004.9850,,,54653481.8852,,,,
2020-10-22,1603324800,685180279.8646,514375421.2538,995621414.9110,,304423053.3562,592969942.5789,573891401.5194,83497043.5973,,,57646587.9415,,,,
2020-10-23,1603411200,710709580.1529,538336944.5968,992465346.1233,,305475414.9542,601080738.7930,590586839.5199,85353653.5706,,,57510185.7168,,,,
2020-10-24,1603497600,725673476.0944,586384647.7086,965795204.3063,,309909438.2217,602062661.8838,578134518.6002,84630524.3483,,,61224001.3748,,,,
2020-10-25,1603584000,770439876.6617,596738862.8216,1002303274.9718,,316546437.3592,627830854.1555,622830607.5605,85888208.8865,,,63424129.4504,,,,
2020-10-26,1603670400,706355040.6290,605168267.0707,1008319981.7863,,312873861.3167,605573513.5588,614808291.2643,85915167.4668,,,63615249.1991,,,,
2020-10-27,1603756800,710388396.1120,583579062.5557,997539000.8705,,311453186.8198,632757951.4928,604818957.9919,86496728.6081,,,64551535.5562,,,,
2020-10-28,1603843200,806198333.7396,575027477.9746,1059986939.2424,,328070139.4467,632016530.3104,610139690.2077,96729078.6363,,,66652922.9667,,,,
2020-10-29,1603929600,707570034.7647,482659110.7773,996350052.6271,,329197763.9857,631007839.4286,566898570.5278,94308083.8373,,,62114040.0299,,,,
2020-10-30,1604016000,747677595.6656,541431342.1052,1041202511.8455,,340761502.9940,651882940.0632,567762145.5394,95757533.2733,,,62784128.0800,,,,
2020-10-31,1604102400,794317249.2671,517449612.7812,1022610372.6133,,319395087.0554,655511672.7948,595609083.8156,97919671.3474,,,65410036.1556,,,,
2020-11-01,1604188800,838035047.2424,573138644.9386,1083671997.1899,,322144005.8040,662921884.3774,617025121.5414,101422798.4495,,,72171194.6028,,,,
2020-11-02,1604275200,834066067.4090,586816433.0296,1076720351.7550,,308541470.7229,660932500.3227,587385309.2402,101074945.2592,,,67601002.7072,,,,
2020-11-03,1604361600,802056451.2191,549802495.1930,1015729218.0769,,307430322.3411,656873633.2617,513972075.3666,99656804.7115,,,66779633.1875,,,,
2020-11-04,1604448000,879263613.6875,568452979.8027,1083304006.5887,,319343731.2038,637567479.5265,492920897.3814,103259763.8219,,,68494317.4812,,,,
2020-11-05,1604534400,886818188.6024,593938806.2276,1079764214.3572,,328852934.3132,635429744.1742,504473203.5532,106476980.8067,,,69748515.1085,,,,
2020-11-06,1604620800,907706574.0508,589327024.7402,1120432239.3496,,363427189.6975,625013260.8946,512106843.1694,134044867.2634,,,70224059.7368,,,,
2020-11-07,1604707200,911631310.3698,611065063.1073,1096648553.2131,,361897991.6562,619978841.5847,567747143.1682,135959994.1218,,,76722066.5686,,,,
2020-11-08,1604793600,793916733.7084,537670077.5360,1068066265.2001,,358993221.0025,580847073.0933,561569985.2801,127863563.9569,,,81871178.4883,,,,
2020-11-09,1604880000,862165612.0961,587740210.9983,1075496356.3258,,376084778.9508,604914636.2040,567025355.6130,135613598.4642,,,84314595.5841,,,,
2020-11-10,1604966400,827621260.8811,619781297.8375,1079345936.8931,,364300944.1651,597466302.1502,565055371.5223,134801778.5248,,,75634507.9650,,,,
2020-11-11,1605052800,826839591.9114,640147061.0992,1049363951.8919,,359390027.4190,598690405.2388,562890776.3880,134466056.1501,,,75188676.3183,,,,
2020-11-12,1605139200,882271494.7713,729184651.3041,1120152388.8682,,387954257.3869,629697459.8595,555163721.1202,138984036.8670,,,81116567.8100,,,,
2020-11-13,1605225600,960902011.8050,759134798.6940,1164963753.6069,,399440158.8704,653019735.1694,539858538.2153,149215043.0103,,,72434743.8445,,,,
2020-11-14,1605312000,933603521.9699,751909665.2787,1112054664.0094,,390530759.0165,653902617.2572,511091979.4343,150928209.1664,,,70157407.8902,,,,
2020-11-15,1605398400,908149805.3966,685487305.9650,1102367148.7730,,384188068.3199,646800043.4261,507179278.5073,148602141.7697,,,67197587.6126,,,,
2020-11-16,1605484800,909100637.2730,695533356.7176,1099584691.4607,,382558337.1363,661793964.4774,508150082.9060,147305037.4374,,,64773402.2438,,,,
2020-11-17,1605571200,991503313.4545,820059252.6495,1177702878.5687,,391535515.9989,666964919.9042,528367669.3585,157665195.1321,,,68127218.3178,,,,
2020-11-18,1605657600,1015442549.6869,790153548.3510,1175428917.1143,,418155590.3244,656989841.8162,544233735.4108,177858094.6597,,,70953531.2178,,,,
