d,unixTs,rhodlRatio
2020-07-18,1595030400,0.000000000000000000000000
2020-07-19,1595116800,1.50502100725796544661
2020-07-20,1595203200,3.0030518934966307
2020-07-21,1595289600,4.5445248193039684
2020-07-22,1595376000,6.0847190501709192
2020-07-23,1595462400,7.6725472652773263
2020-07-24,1595548800,9.2569237049799185
2020-07-25,1595635200,10.8770138631371882
2020-07-26,1595721600,12.6215510438606085
2020-07-27,1595808000,14.7852851134686462
2020-07-28,1595894400,16.8948790804081961
2020-07-29,1595980800,19.0793571926424479
2020-07-30,1596067200,20.9258404990517854
2020-07-31,1596153600,23.0477535449186481
2020-08-01,1596240000,25.4434420169783278
2020-08-02,1596326400,26.9819926541359400
2020-08-03,1596412800,28.9018687447287003
2020-08-04,1596499200,30.5016550994658574
2020-08-05,1596585600,32.5196402202279552
2020-08-06,1596672000,34.6499896251721912
2020-08-07,1596758400,36.4121542703388599
2020-08-08,1596844800,38.3632042238489821
2020-08-09,1596931200,40.1777603553368704
2020-08-10,1597017600,42.4770052409279670
2020-08-11,1597104000,43.8200078366941113
2020-08-12,1597190400,45.5592941776264506
2020-08-13,1597276800,47.3570447357659075
2020-08-14,1597363200,49.3787115071051989
2020-08-15,1597449600,51.4740605285333201
2020-08-16,1597536000,53.4057866565169092
2020-08-17,1597622400,55.9164612879233834
2020-08-18,1597708800,57.7953852802477194
2020-08-19,1597795200,58.8317273278599137
2020-08-20,1597881600,60.7851255068214843
2020-08-21,1597968000,62.3857112317219392
2020-08-22,1598054400,63.7811228503936893
2020-08-23,1598140800,65.5572758569043073
2020-08-24,1598227200,67.6523644568153751
2020-08-25,1598313600,68.2764781364619455
2020-08-26,1598400000,69.1266301808423744
2020-08-27,1598486400,70.3147413679327885
2020-08-28,1598572800,72.2515896483572012
2020-08-29,1598659200,74.2006399848191871
2020-08-30,1598745600,76.3530840279706503
2020-08-31,1598832000,78.1832001072643242
2020-09-01,1598918400,80.9364460692310958
2020-09-02,1599004800,81.3632504073272438
2020-09-03,1599091200,80.4512163873546355
2020-09-04,1599177600,79.8607937337215057
2020-09-05,1599264000,79.0911468795307197
2020-09-06,1599350400,80.1675509313896865
2020-09-07,1599436800,80.7770211455086337
2020-09-08,1599523200,81.1383911917766020
2020-09-09,1599609600,82.0921704918259750
2020-09-10,1599696000,83.4703488089058530
2020-09-11,1599782400,84.8367421326778562
2020-09-12,1599868800,86.6847611619153959
2020-09-13,1599955200,88.0270907164548676
2020-09-14,1600041600,90.6940109552094593
